inst#,    actual, predicted, error, probability distribution
1,	     1:Low,	     1:Low
168,	     1:Low,	     1:Low
169,	     1:Low,	     1:Low
170,	     1:Low,	     1:Low
171,	     1:Low,	     1:Low
172,	     1:Low,	     1:Low
173,	     1:Low,	     2:High
174,	     1:Low,	     2:High
175,	     1:Low,	     1:Low
176,	     1:Low,	     1:Low
177,	     1:Low,	     1:Low
178,	     1:Low,	     2:High
179,	     1:Low,	     1:Low
180,	     1:Low,	     1:Low
181,	     1:Low,	     2:High
182,	     1:Low,	     1:Low
183,	     1:Low,	     1:Low
184,	     1:Low,	     1:Low
185,	     1:Low,	     1:Low
186,	     1:Low,	     1:Low
187,	     1:Low,	     1:Low
188,	     1:Low,	     1:Low
189,	     1:Low,	     2:High
190,	     1:Low,	     1:Low
191,	     1:Low,	     1:Low
192,	     1:Low,	     1:Low
193,	     1:Low,	     1:Low
194,	     1:Low,	     2:High
195,	     1:Low,	     1:Low
196,	     1:Low,	     1:Low
197,	     1:Low,	     2:High
198,	     1:Low,	     2:High
199,	     1:Low,	     1:Low
200,	     1:Low,	     1:Low
201,	     1:Low,	     1:Low
202,	     1:Low,	     1:Low
203,	     1:Low,	     1:Low
204,	     1:Low,	     2:High
205,	     1:Low,	     2:High
206,	     1:Low,	     1:Low
207,	     1:Low,	     1:Low
208,	     1:Low,	     1:Low
209,	     1:Low,	     2:High
210,	     1:Low,	     2:High
211,	     1:Low,	     1:Low
212,	     1:Low,	     1:Low
213,	     1:Low,	     2:High
214,	     1:Low,	     1:Low
215,	     1:Low,	     1:Low
216,	     1:Low,	     2:High
217,	     1:Low,	     1:Low
218,	     1:Low,	     1:Low
219,	     1:Low,	     1:Low
220,	     1:Low,	     2:High
221,	     1:Low,	     1:Low
222,	     1:Low,	     1:Low
223,	     1:Low,	     2:High
224,	     1:Low,	     1:Low
225,	     1:Low,	     1:Low
226,	     1:Low,	     1:Low
227,	     1:Low,	     1:Low
228,	     1:Low,	     2:High
229,	     1:Low,	     1:Low
230,	     1:Low,	     1:Low
231,	     1:Low,	     1:Low
232,	     1:Low,	     2:High
233,	     1:Low,	     2:High
234,	     1:Low,	     1:Low
235,	     1:Low,	     1:Low
236,	     1:Low,	     2:High
237,	     1:Low,	     1:Low
238,	     1:Low,	     2:High
239,	     1:Low,	     2:High
240,	     1:Low,	     1:Low
241,	     1:Low,	     2:High
242,	     1:Low,	     2:High
243,	     1:Low,	     2:High
244,	     1:Low,	     2:High
245,	     1:Low,	     1:Low
246,	     1:Low,	     1:Low
247,	     1:Low,	     2:High
248,	     1:Low,	     2:High
249,	     1:Low,	     1:Low
250,	     1:Low,	     2:High
251,	     1:Low,	     1:Low
252,	     1:Low,	     1:Low
253,	     1:Low,	     2:High
254,	     1:Low,	     1:Low
255,	     1:Low,	     1:Low
256,	     1:Low,	     2:High
257,	     1:Low,	     1:Low
258,	     1:Low,	     2:High
259,	     1:Low,	     1:Low
260,	     1:Low,	     1:Low
261,	     1:Low,	     2:High
262,	     1:Low,	     1:Low
263,	     1:Low,	     2:High
264,	     1:Low,	     1:Low
265,	     1:Low,	     1:Low
266,	     1:Low,	     1:Low
267,	     1:Low,	     1:Low
268,	     1:Low,	     1:Low
269,	     1:Low,	     1:Low
270,	     1:Low,	     1:Low
271,	     1:Low,	     2:High
272,	     1:Low,	     2:High
273,	     1:Low,	     2:High
274,	     1:Low,	     1:Low
275,	     1:Low,	     2:High
276,	     1:Low,	     1:Low
277,	     1:Low,	     2:High
278,	     1:Low,	     1:Low
279,	     1:Low,	     2:High
280,	     1:Low,	     2:High
281,	     1:Low,	     1:Low
282,	     1:Low,	     1:Low
283,	     1:Low,	     2:High
284,	     1:Low,	     2:High
285,	     1:Low,	     2:High
286,	     1:Low,	     1:Low
287,	     1:Low,	     2:High
288,	     1:Low,	     2:High
289,	     1:Low,	     1:Low
290,	     1:Low,	     2:High
291,	     1:Low,	     1:Low
292,	     1:Low,	     2:High
293,	     1:Low,	     2:High
294,	     1:Low,	     2:High
295,	     1:Low,	     2:High
296,	     1:Low,	     2:High
297,	     1:Low,	     1:Low
298,	     1:Low,	     2:High
299,	     1:Low,	     1:Low
300,	     1:Low,	     1:Low
301,	     1:Low,	     1:Low
302,	     1:Low,	     2:High
303,	     1:Low,	     2:High
304,	     1:Low,	     1:Low
305,	     1:Low,	     2:High
306,	     1:Low,	     1:Low
307,	     1:Low,	     1:Low
308,	     1:Low,	     1:Low
309,	     1:Low,	     1:Low
310,	     1:Low,	     1:Low
311,	     1:Low,	     2:High
312,	     1:Low,	     1:Low
313,	     1:Low,	     2:High
314,	     1:Low,	     1:Low
315,	     1:Low,	     2:High
316,	     1:Low,	     1:Low
317,	     1:Low,	     1:Low
318,	     1:Low,	     1:Low
319,	     1:Low,	     1:Low
320,	     1:Low,	     2:High
321,	     1:Low,	     2:High
322,	     1:Low,	     1:Low
323,	     1:Low,	     1:Low
324,	     1:Low,	     1:Low
325,	     1:Low,	     2:High
326,	     1:Low,	     2:High
327,	     1:Low,	     2:High
328,	     1:Low,	     1:Low
329,	     1:Low,	     2:High
330,	     1:Low,	     2:High
331,	     1:Low,	     2:High
332,	     1:Low,	     2:High
333,	     1:Low,	     1:Low
334,	     1:Low,	     1:Low
335,	     1:Low,	     1:Low
336,	     1:Low,	     1:Low
337,	     1:Low,	     1:Low
338,	     1:Low,	     2:High
339,	     1:Low,	     2:High
340,	     1:Low,	     2:High
341,	     1:Low,	     2:High
342,	     1:Low,	     1:Low
343,	     1:Low,	     1:Low
344,	     1:Low,	     2:High
345,	     1:Low,	     2:High
346,	     1:Low,	     1:Low
347,	     1:Low,	     2:High
348,	     1:Low,	     2:High
349,	     1:Low,	     1:Low
350,	     1:Low,	     2:High
351,	     1:Low,	     2:High
352,	     1:Low,	     1:Low
353,	     1:Low,	     1:Low
354,	     1:Low,	     1:Low
355,	     1:Low,	     1:Low
356,	     1:Low,	     1:Low
357,	     1:Low,	     1:Low
358,	     1:Low,	     2:High
359,	     1:Low,	     2:High
360,	     1:Low,	     2:High
361,	     1:Low,	     2:High
362,	     1:Low,	     1:Low
363,	     1:Low,	     2:High
364,	     1:Low,	     2:High
365,	     1:Low,	     1:Low
366,	     1:Low,	     2:High
367,	     1:Low,	     2:High
368,	     1:Low,	     2:High
369,	     1:Low,	     2:High
370,	     1:Low,	     1:Low
371,	     1:Low,	     2:High
372,	     1:Low,	     2:High
373,	     1:Low,	     1:Low
374,	     1:Low,	     1:Low
375,	     1:Low,	     2:High
376,	     1:Low,	     1:Low
377,	     1:Low,	     2:High
378,	     1:Low,	     1:Low
379,	     1:Low,	     2:High
380,	     1:Low,	     1:Low
381,	     1:Low,	     1:Low
382,	     1:Low,	     1:Low
383,	     1:Low,	     2:High
384,	     1:Low,	     2:High
385,	     1:Low,	     1:Low
386,	     1:Low,	     2:High
387,	     1:Low,	     2:High
388,	     1:Low,	     2:High
389,	     1:Low,	     1:Low
390,	     1:Low,	     1:Low
391,	     1:Low,	     1:Low
392,	     1:Low,	     2:High
393,	     1:Low,	     1:Low
394,	     1:Low,	     2:High
395,	     1:Low,	     1:Low
396,	     1:Low,	     2:High
397,	     1:Low,	     2:High
398,	     1:Low,	     2:High
399,	     1:Low,	     2:High
400,	     1:Low,	     1:Low
401,	     1:Low,	     1:Low
402,	     1:Low,	     1:Low
403,	     1:Low,	     1:Low
404,	     1:Low,	     2:High
405,	     1:Low,	     1:Low
406,	     1:Low,	     1:Low
407,	     1:Low,	     2:High
408,	     1:Low,	     1:Low
409,	     1:Low,	     1:Low
410,	     1:Low,	     1:Low
411,	     1:Low,	     1:Low
412,	     1:Low,	     1:Low
413,	     1:Low,	     2:High
414,	     1:Low,	     2:High
415,	     1:Low,	     2:High
416,	     1:Low,	     2:High
417,	     1:Low,	     1:Low
418,	     1:Low,	     2:High
419,	     1:Low,	     1:Low
420,	     1:Low,	     2:High
421,	     1:Low,	     2:High
422,	     1:Low,	     2:High
423,	     1:Low,	     2:High
424,	     1:Low,	     1:Low
425,	     1:Low,	     1:Low
426,	     1:Low,	     1:Low
427,	     1:Low,	     1:Low
428,	     1:Low,	     2:High
429,	     1:Low,	     2:High
430,	     1:Low,	     2:High
431,	     1:Low,	     2:High
432,	     1:Low,	     2:High
433,	     1:Low,	     1:Low
434,	     1:Low,	     1:Low
435,	     1:Low,	     2:High
436,	     1:Low,	     1:Low
437,	     1:Low,	     1:Low
438,	     1:Low,	     1:Low
439,	     1:Low,	     2:High
440,	     1:Low,	     2:High
441,	     1:Low,	     1:Low
442,	     1:Low,	     1:Low
443,	     1:Low,	     1:Low
444,	     1:Low,	     1:Low
445,	     1:Low,	     1:Low
446,	     1:Low,	     2:High
447,	     1:Low,	     2:High
448,	     1:Low,	     2:High
449,	     1:Low,	     2:High
450,	     1:Low,	     2:High
451,	     1:Low,	     2:High
452,	     1:Low,	     1:Low
453,	     1:Low,	     2:High
454,	     1:Low,	     2:High
455,	     1:Low,	     1:Low
456,	     1:Low,	     2:High
457,	     1:Low,	     1:Low
458,	     1:Low,	     1:Low
459,	     1:Low,	     1:Low
460,	     1:Low,	     2:High
461,	     1:Low,	     1:Low
462,	     1:Low,	     1:Low
463,	     1:Low,	     2:High
464,	     1:Low,	     1:Low
465,	     1:Low,	     2:High
466,	     1:Low,	     1:Low
467,	     1:Low,	     1:Low
468,	     1:Low,	     2:High
469,	     1:Low,	     1:Low
470,	     1:Low,	     2:High
471,	     1:Low,	     2:High
472,	     1:Low,	     1:Low
473,	     1:Low,	     2:High
474,	     1:Low,	     1:Low
475,	     1:Low,	     1:Low
476,	     1:Low,	     1:Low
477,	     1:Low,	     1:Low
478,	     1:Low,	     1:Low
479,	     1:Low,	     1:Low
480,	     1:Low,	     2:High
481,	     1:Low,	     2:High
482,	     1:Low,	     1:Low
483,	     1:Low,	     1:Low
484,	     1:Low,	     1:Low
485,	     1:Low,	     1:Low
486,	     1:Low,	     2:High
487,	     1:Low,	     1:Low
488,	     1:Low,	     1:Low
489,	     1:Low,	     1:Low
490,	     1:Low,	     1:Low
491,	     1:Low,	     2:High
492,	     1:Low,	     1:Low
493,	     1:Low,	     2:High
494,	     1:Low,	     1:Low
495,	     1:Low,	     1:Low
496,	     1:Low,	     1:Low
497,	     1:Low,	     2:High
498,	     1:Low,	     1:Low
499,	     1:Low,	     2:High
500,	     1:Low,	     2:High
501,	     1:Low,	     2:High
502,	     1:Low,	     1:Low
503,	     1:Low,	     1:Low
504,	     1:Low,	     2:High
505,	     1:Low,	     1:Low
506,	     1:Low,	     2:High
507,	     1:Low,	     1:Low
508,	     1:Low,	     1:Low
509,	     1:Low,	     1:Low
510,	     1:Low,	     1:Low
511,	     1:Low,	     1:Low
512,	     1:Low,	     1:Low
513,	     1:Low,	     1:Low
514,	     1:Low,	     1:Low
515,	     1:Low,	     1:Low
516,	     1:Low,	     1:Low
517,	     1:Low,	     2:High
518,	     1:Low,	     1:Low
519,	     1:Low,	     1:Low
520,	     1:Low,	     2:High
521,	     1:Low,	     2:High
522,	     1:Low,	     2:High
523,	     1:Low,	     2:High
524,	     1:Low,	     1:Low
525,	     1:Low,	     2:High
526,	     1:Low,	     1:Low
527,	     1:Low,	     1:Low
528,	     1:Low,	     1:Low
529,	     1:Low,	     1:Low
530,	     1:Low,	     1:Low
531,	     1:Low,	     1:Low
532,	     1:Low,	     1:Low
533,	     1:Low,	     1:Low
534,	     1:Low,	     1:Low
535,	     1:Low,	     1:Low
536,	     1:Low,	     2:High
537,	     1:Low,	     1:Low
538,	     1:Low,	     1:Low
539,	     1:Low,	     1:Low
540,	     1:Low,	     1:Low
541,	     1:Low,	     2:High
542,	     1:Low,	     2:High
543,	     1:Low,	     2:High
544,	     1:Low,	     1:Low
545,	     1:Low,	     1:Low
546,	     1:Low,	     1:Low
547,	     1:Low,	     2:High
548,	     1:Low,	     2:High
549,	     1:Low,	     2:High
550,	     1:Low,	     1:Low
551,	     1:Low,	     1:Low
552,	     1:Low,	     1:Low
553,	     1:Low,	     1:Low
554,	     1:Low,	     1:Low
555,	     1:Low,	     2:High
556,	     1:Low,	     1:Low
557,	     1:Low,	     1:Low
558,	     1:Low,	     2:High
559,	     1:Low,	     2:High
560,	     1:Low,	     2:High
561,	     1:Low,	     1:Low
562,	     1:Low,	     1:Low
563,	     1:Low,	     1:Low
564,	     1:Low,	     2:High
565,	     1:Low,	     1:Low
566,	     1:Low,	     1:Low
567,	     1:Low,	     1:Low
568,	     1:Low,	     1:Low
569,	     1:Low,	     1:Low
570,	     1:Low,	     2:High
571,	     1:Low,	     1:Low
572,	     1:Low,	     1:Low
573,	     1:Low,	     1:Low
574,	     1:Low,	     1:Low
575,	     1:Low,	     2:High
576,	     1:Low,	     1:Low
577,	     1:Low,	     1:Low
578,	     1:Low,	     1:Low
579,	     1:Low,	     2:High
580,	     1:Low,	     1:Low
581,	     1:Low,	     1:Low
582,	     1:Low,	     2:High
583,	     1:Low,	     1:Low
584,	     1:Low,	     1:Low
585,	     1:Low,	     2:High
586,	     1:Low,	     2:High
587,	     1:Low,	     1:Low
588,	     1:Low,	     2:High
589,	     1:Low,	     1:Low
590,	     1:Low,	     2:High
591,	     1:Low,	     1:Low
592,	     1:Low,	     1:Low
593,	     1:Low,	     1:Low
594,	     1:Low,	     2:High
595,	     1:Low,	     2:High
596,	     1:Low,	     2:High
597,	     1:Low,	     2:High
598,	     1:Low,	     2:High
599,	     1:Low,	     1:Low
600,	     1:Low,	     2:High
601,	     1:Low,	     1:Low
602,	     1:Low,	     2:High
603,	     1:Low,	     1:Low
604,	     1:Low,	     2:High
605,	     1:Low,	     2:High
606,	     1:Low,	     1:Low
607,	     1:Low,	     1:Low
608,	     1:Low,	     1:Low
609,	     1:Low,	     2:High
610,	     1:Low,	     1:Low
611,	     1:Low,	     1:Low
612,	     1:Low,	     1:Low
613,	     1:Low,	     1:Low
614,	     1:Low,	     1:Low
615,	     1:Low,	     1:Low
616,	     1:Low,	     2:High
617,	     1:Low,	     2:High
618,	     1:Low,	     1:Low
619,	     1:Low,	     2:High
620,	     1:Low,	     1:Low
621,	     1:Low,	     2:High
622,	     1:Low,	     1:Low
623,	     1:Low,	     1:Low
624,	     1:Low,	     2:High
625,	     1:Low,	     2:High
626,	     1:Low,	     1:Low
627,	     1:Low,	     2:High
628,	     1:Low,	     1:Low
629,	     1:Low,	     1:Low
630,	     1:Low,	     1:Low
631,	     1:Low,	     1:Low
632,	     1:Low,	     1:Low
633,	     1:Low,	     1:Low
634,	     1:Low,	     1:Low
635,	     1:Low,	     1:Low
636,	     1:Low,	     2:High
637,	     1:Low,	     2:High
638,	     1:Low,	     1:Low
639,	     1:Low,	     1:Low
640,	     1:Low,	     1:Low
641,	     1:Low,	     1:Low
642,	     1:Low,	     2:High
643,	     1:Low,	     2:High
644,	     1:Low,	     2:High
645,	     1:Low,	     2:High
646,	     1:Low,	     1:Low
647,	     1:Low,	     1:Low
648,	     1:Low,	     1:Low
649,	     1:Low,	     2:High
650,	     1:Low,	     1:Low
651,	     1:Low,	     1:Low
652,	     1:Low,	     1:Low
653,	     1:Low,	     1:Low
654,	     1:Low,	     1:Low
655,	     1:Low,	     1:Low
656,	     1:Low,	     1:Low
657,	     1:Low,	     1:Low
658,	     1:Low,	     1:Low
659,	     1:Low,	     2:High
660,	     1:Low,	     1:Low
661,	     1:Low,	     1:Low
662,	     1:Low,	     1:Low
663,	     1:Low,	     2:High
664,	     1:Low,	     1:Low
665,	     1:Low,	     2:High
666,	     1:Low,	     2:High
667,	     1:Low,	     1:Low
668,	     1:Low,	     2:High
669,	     1:Low,	     2:High
670,	     1:Low,	     1:Low
671,	     1:Low,	     1:Low
672,	     1:Low,	     2:High
673,	     1:Low,	     2:High
674,	     1:Low,	     1:Low
675,	     1:Low,	     1:Low
676,	     1:Low,	     2:High
677,	     1:Low,	     1:Low
678,	     1:Low,	     1:Low
679,	     1:Low,	     1:Low
680,	     1:Low,	     1:Low
681,	     1:Low,	     1:Low
682,	     1:Low,	     2:High
683,	     1:Low,	     1:Low
684,	     1:Low,	     2:High
685,	     1:Low,	     1:Low
686,	     1:Low,	     1:Low
687,	     1:Low,	     1:Low
688,	     1:Low,	     1:Low
689,	     1:Low,	     2:High
690,	     1:Low,	     1:Low
691,	     1:Low,	     1:Low
692,	     1:Low,	     1:Low
693,	     1:Low,	     1:Low
694,	     1:Low,	     1:Low
695,	     1:Low,	     1:Low
696,	     1:Low,	     1:Low
697,	     1:Low,	     1:Low
698,	     1:Low,	     1:Low
699,	     1:Low,	     2:High
700,	     1:Low,	     2:High
701,	     1:Low,	     2:High
702,	     1:Low,	     1:Low
703,	     1:Low,	     2:High
704,	     1:Low,	     1:Low
705,	     1:Low,	     2:High
706,	     1:Low,	     1:Low
707,	     1:Low,	     2:High
708,	     1:Low,	     1:Low
709,	     1:Low,	     2:High
710,	     1:Low,	     2:High
711,	     1:Low,	     1:Low
712,	     1:Low,	     1:Low
713,	     1:Low,	     1:Low
714,	     1:Low,	     1:Low
715,	     1:Low,	     1:Low
716,	     1:Low,	     1:Low
717,	     1:Low,	     1:Low
718,	     1:Low,	     1:Low
719,	     1:Low,	     2:High
720,	     1:Low,	     2:High
721,	     1:Low,	     1:Low
722,	     1:Low,	     2:High
723,	     1:Low,	     1:Low
724,	     1:Low,	     2:High
725,	     1:Low,	     2:High
726,	     1:Low,	     1:Low
727,	     1:Low,	     1:Low
728,	     1:Low,	     1:Low
729,	     1:Low,	     1:Low
730,	     1:Low,	     2:High
731,	     1:Low,	     1:Low
732,	     1:Low,	     1:Low
733,	     1:Low,	     2:High
734,	     1:Low,	     1:Low
735,	     1:Low,	     1:Low
736,	     1:Low,	     2:High
737,	     1:Low,	     1:Low
738,	     1:Low,	     1:Low
739,	     1:Low,	     1:Low
740,	     1:Low,	     2:High
741,	     1:Low,	     1:Low
742,	     1:Low,	     1:Low
743,	     1:Low,	     1:Low
744,	     1:Low,	     2:High
745,	     1:Low,	     1:Low
746,	     1:Low,	     1:Low
747,	     1:Low,	     1:Low
748,	     1:Low,	     2:High
749,	     1:Low,	     1:Low
750,	     1:Low,	     2:High
751,	     1:Low,	     2:High
752,	     1:Low,	     1:Low
753,	     1:Low,	     1:Low
754,	     1:Low,	     2:High
755,	     1:Low,	     1:Low
756,	     1:Low,	     1:Low
757,	     1:Low,	     1:Low
758,	     1:Low,	     2:High
759,	     1:Low,	     1:Low
760,	     1:Low,	     1:Low
761,	     1:Low,	     2:High
762,	     1:Low,	     2:High
763,	     1:Low,	     1:Low
764,	     1:Low,	     1:Low
765,	     1:Low,	     1:Low
766,	     1:Low,	     1:Low
767,	     1:Low,	     2:High
768,	     1:Low,	     1:Low
769,	     1:Low,	     1:Low
770,	     1:Low,	     1:Low
771,	     1:Low,	     2:High
772,	     1:Low,	     1:Low
773,	     1:Low,	     1:Low
774,	     1:Low,	     2:High
775,	     1:Low,	     2:High
776,	     1:Low,	     1:Low
777,	     1:Low,	     2:High
778,	     1:Low,	     2:High
779,	     1:Low,	     1:Low
780,	     1:Low,	     1:Low
781,	     1:Low,	     2:High
782,	     1:Low,	     2:High
783,	     1:Low,	     2:High
784,	     1:Low,	     1:Low
785,	     1:Low,	     1:Low
786,	     1:Low,	     1:Low
787,	     1:Low,	     2:High
788,	     1:Low,	     2:High
789,	     1:Low,	     1:Low
790,	     1:Low,	     1:Low
791,	     1:Low,	     2:High
792,	     1:Low,	     1:Low
793,	     1:Low,	     1:Low
794,	     1:Low,	     1:Low
795,	     1:Low,	     1:Low
796,	     1:Low,	     1:Low
797,	     1:Low,	     2:High
798,	     1:Low,	     2:High
799,	     1:Low,	     1:Low
800,	     1:Low,	     1:Low
801,	     1:Low,	     2:High
802,	     1:Low,	     2:High
803,	     1:Low,	     1:Low
804,	     1:Low,	     2:High
805,	     1:Low,	     2:High
806,	     1:Low,	     1:Low
807,	     1:Low,	     1:Low
808,	     1:Low,	     2:High
809,	     1:Low,	     2:High
810,	     1:Low,	     2:High
811,	     1:Low,	     2:High
812,	     1:Low,	     1:Low
813,	     1:Low,	     1:Low
814,	     1:Low,	     1:Low
815,	     1:Low,	     1:Low
816,	     1:Low,	     1:Low
817,	     1:Low,	     1:Low
818,	     1:Low,	     1:Low
819,	     1:Low,	     1:Low
820,	     1:Low,	     1:Low
821,	     1:Low,	     1:Low
822,	     1:Low,	     2:High
823,	     1:Low,	     1:Low
824,	     1:Low,	     1:Low
825,	     1:Low,	     1:Low
826,	     1:Low,	     2:High
827,	     1:Low,	     1:Low
828,	     1:Low,	     1:Low
829,	     1:Low,	     1:Low
830,	     1:Low,	     1:Low
831,	     1:Low,	     1:Low
832,	     1:Low,	     1:Low
833,	     1:Low,	     1:Low
834,	     1:Low,	     1:Low
835,	     1:Low,	     1:Low
836,	     1:Low,	     1:Low
837,	     1:Low,	     1:Low
838,	     1:Low,	     1:Low
839,	     1:Low,	     1:Low
840,	     1:Low,	     1:Low
841,	     1:Low,	     2:High
842,	     1:Low,	     1:Low
843,	     1:Low,	     2:High
844,	     1:Low,	     1:Low
845,	     1:Low,	     2:High
846,	     1:Low,	     1:Low
847,	     1:Low,	     1:Low
848,	     1:Low,	     1:Low
849,	     1:Low,	     2:High
850,	     1:Low,	     1:Low
851,	     1:Low,	     1:Low
852,	     1:Low,	     1:Low
853,	     1:Low,	     1:Low
854,	     1:Low,	     1:Low
855,	     1:Low,	     1:Low
856,	     1:Low,	     1:Low
857,	     1:Low,	     1:Low
858,	     1:Low,	     2:High
859,	     1:Low,	     1:Low
860,	     1:Low,	     1:Low
861,	     1:Low,	     2:High
862,	     1:Low,	     1:Low
863,	     1:Low,	     2:High
864,	     1:Low,	     1:Low
865,	     1:Low,	     2:High
866,	     1:Low,	     2:High
867,	     1:Low,	     1:Low
868,	     1:Low,	     1:Low
869,	     1:Low,	     1:Low
870,	     1:Low,	     1:Low
871,	     1:Low,	     2:High
872,	     1:Low,	     1:Low
873,	     1:Low,	     2:High
874,	     1:Low,	     2:High
875,	     1:Low,	     1:Low
876,	     1:Low,	     2:High
877,	     1:Low,	     1:Low
878,	     1:Low,	     2:High
879,	     1:Low,	     1:Low
880,	     1:Low,	     2:High
881,	     1:Low,	     2:High
882,	     1:Low,	     1:Low
883,	     1:Low,	     1:Low
884,	     1:Low,	     2:High
885,	     1:Low,	     1:Low
886,	     1:Low,	     1:Low
887,	     1:Low,	     1:Low
888,	     1:Low,	     1:Low
889,	     1:Low,	     1:Low
890,	     1:Low,	     1:Low
891,	     1:Low,	     1:Low
